"filename", "language", "XML", "Batch", "Java Properties", "Java", "YAML", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\.github\workflows\main_bodega-janys.yml", "YAML", 0, 0, 0, 0, 41, 0, 0, 0, 2, 10, 53
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\mvnw.cmd", "Batch", 0, 118, 0, 0, 0, 0, 0, 0, 51, 37, 206
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\pom.xml", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\AlmacenApplication.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Carrito\Carrito.java", "Java", 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Carrito\CarritoService.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 11, 40
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Carrito\ICarrito.java", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Carrito\ICarritoService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Categoria_Producto\Categoria_Producto.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Categoria_Producto\Categoria_ProductoControlador.java", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Categoria_Producto\Categoria_ProductoService.java", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 41
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Categoria_Producto\ICategoria_Producto.java", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Categoria_Producto\ICategoria_ProductoService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Controlador.java", "Java", 0, 0, 0, 363, 0, 0, 0, 0, 1, 87, 451
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Detalle\Detalle.java", "Java", 0, 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Detalle\IDetalle.java", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Detalle\IDetalleService.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Encriptador\Hash.java", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 2, 8, 32
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\java\com\example\Almacen\Estado\Estado.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
